OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
368,B2 - Motor Repair,GRECO'S HIGH PERFORMANCE AUTOMOTIVE REPAIRS LTD,2493 BARTON ST E  HAMILTON ON,2022/11/13 00:00:00+00,13 282150 07 1R,Public Garage
369,A - New/Used Vehicle Sales,GREEN VALLEY AUTO SALES,38 PARKDALE AVE N  HAMILTON ON,2022/07/22 00:00:00+00,14 286570 07 1R,Public Garage
370,Multiple Use Garage,GRID MOTORS,1154 RYMAL RD E  HAMILTON ON,2022/04/07 11:35:20+00,19 295887 02 1R,Public Garage
371,A - New/Used Vehicle Sales,GRIMSBY CHRYSLER DODGE JEEP LTD,410 LEWIS RD  STONEY CREEK ON,2022/09/12 23:02:08+00,21 299494 00 1R,Public Garage
372,D - Parking Lot,GRINDSTONE PROPERTIES LTD,58 YORK BLVD  HAMILTON ON,2022/05/23 00:00:00+00,15 124173 07 1R,Public Garage
373,A - New/Used Vehicle Sales,GRISDALE ENTERPRISES,400 BROCK RD  FLAMBOROUGH ON,2022/09/20 00:00:00+00,14 171564 07 1R,Public Garage
374,B2 - Motor Repair,GRIZZLY CUSTOM TRUCK REPAIR,36 KEEFER CRT  HAMILTON ON,2022/11/15 00:00:00+00,14 283702 07 1R,Public Garage
375,E - Car Wash,GS CAR WASH & DETAILING CENTRE ,802 UPPER GAGE AVE  HAMILTON ON,2022/11/18 14:54:25+00,21 299818 00 1R,Public Garage
376,A - New/Used Vehicle Sales,GSR AUTO CENTRE,565 PARKDALE AVE N  HAMILTON ON,2022/08/04 00:00:00+00,14 278050 08 1R,Public Garage
377,Multiple Use Garage,GT TALLARA'S AUTOMOTIVE INC.,370 BEACH RD  HAMILTON ON,2022/05/22 00:00:00+00,15 124332 07 1R,Public Garage
378,A - New/Used Vehicle Sales,HAM A AUTO LP O/A ACURA OF HAMILTON,1515 UPPER JAMES ST  HAMILTON ON,2022/11/19 14:32:11+00,21 299810 00 1R,Public Garage
379,A - New/Used Vehicle Sales,HAM K AUTO LP O/A KIA OF HAMILTON ,1885 UPPER JAMES ST  GLANBROOK ON,2022/11/19 14:35:46+00,21 299822 00 1R,Public Garage
