OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
921,Restaurant,MILL STREET & FIVE AMERICAN HOUSE,324 DUNDAS ST E  FLAMBOROUGH ON,2022/07/05 00:00:00+00,14 283082 07 1J,Eating Establishment
922,Restaurant Take-Out,MIMI'S ASIAN GOURMET,971 KING ST E  HAMILTON ON,2022/09/20 00:00:00+00,21 299329 00 1J,Eating Establishment
923,Restaurant,MINT RESTAURANT,200 CENTENNIAL PKY N  HAMILTON ON,2022/12/02 00:00:00+00,19 297029 02 1J,Eating Establishment
924,Restaurant Take-Out,MISS LYN'S,677 KING ST E  HAMILTON ON,2022/07/09 00:00:00+00,18 293902 03 1J,Eating Establishment
925,Restaurant Take-Out,MITO GROUP INC O/A NAOKI SUSHI,510 CENTENNIAL PKWY N  HAMILTON ON,2022/06/23 00:00:00+00,21 299106 00 1J,Eating Establishment
926,Restaurant,MK & SONS TRADING LIMITED O/A TIM HORTONS,32 YORK RD  DUNDAS ON L9H 1L4,2022/11/29 00:00:00+00,18 295289 03 1J,Eating Establishment
927,Restaurant,MK & SONS TRADING LIMITED O/A TIM HORTONS,86 MAIN ST  DUNDAS ON L9H 2R1,2023/01/03 00:00:00+00,18 295290 03 1J,Eating Establishment
928,Restaurant,MLC RESTAURANT MANAGEMENT INC. O/A TIM HORTONS,570 UPPER OTTAWA ST  HAMILTON ON L8T 3T2,2022/06/16 00:00:00+00,17 292355 04 1J,Eating Establishment
929,Restaurant,MMM TIM'S INC O/A TIM HORTONS,80 JOHN ST S  HAMILTON ON L8N 2C1,2022/10/02 00:00:00+00,14 282588 07 1J,Eating Establishment
930,Restaurant Take-Out,MMM TIM'S INC O/A TIM HORTONS,35 KING ST E  HAMILTON ON L8R 1N3,2022/05/14 00:00:00+00,14 282590 07 1J,Eating Establishment
931,Restaurant,MNR RESTAURANT INC O/A QUIZNOS,1100 GOLF LINKS RD  ANCASTER ON,2023/01/11 00:00:00+00,21 298564 01 1J,Eating Establishment
932,Restaurant with Liquor Service,MODERN DESIGN STUDIO INC.,215 LOCKE ST S  HAMILTON ON L8R 4B6,2022/04/06 00:00:00+00,20 298517 00 1J,Eating Establishment
933,Restaurant,MOHAWK STUDENTS ASSOCIATION O/A BOOSTER JUICE,135 FENNELL AVE W  HAMILTON ON L9C 1E9,2022/11/12 00:00:00+00,14 285145 07 1J,Eating Establishment
934,Restaurant Take-Out,MOHAWK STUDENTS ASSOCIATION O/A PIZZA PIZZA / LUNCH BOX,135 FENNELL AVE W  HAMILTON ON L9C 1E9,2022/12/03 00:00:00+00,13 283749 07 1J,Eating Establishment
935,Restaurant,MOHAWK STUDENTS ASSOCIATION O/A URBAN FORK / THE CELLAR / ARNIE,135 FENNELL AVE W  HAMILTON ON L9C 1E9,2022/03/05 00:00:00+00,13 283748 06 1J,Eating Establishment
936,Restaurant Take-Out,MONTFORT LTD. O/A MONTFORT EXPRESS,1275 BARTON ST E  HAMILTON ON L8H 2V4,2022/03/01 00:00:00+00,14 281224 06 1J,Eating Establishment
937,Restaurant with Liquor Service,MOTEL KITCHEN & BAR LTD.,359 BARTON ST E  HAMILTON ON,2022/06/27 00:00:00+00,17 292362 04 1J,Eating Establishment
938,Restaurant with Liquor Service,MOTHER'S VIETNAMESE KITCHEN,145 BARTON ST E  HAMILTON ON,2022/09/18 00:00:00+00,15 288048 06 1J,Eating Establishment
939,Restaurant,MR DUMPLING EXPRESS,50 DUNDURN ST S  HAMILTON ON L8P 4W3,2022/05/11 00:00:00+00,18 294002 03 1J,Eating Establishment
940,Restaurant,MR. GRANDE PIZZA,1157 RYMAL RD E  HAMILTON ON L8W 3M6,2022/08/27 00:00:00+00,15 125521 07 1J,Eating Establishment
