OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
279,19 297162 02 1K,Food Shop,Basic,DOLLARAMA LP,1370 SOUTH SERVICE RD  STONEY CREEK,2022/12/06 00:00:00+00
280,20 298418 00 1K,Food Shop,Basic,DOLLARAMA LP,1776 STONE CHURCH RD E  STONEY CREEK ON,2022/05/18 00:00:00+00
281,20 297768 01 1K,Food Shop,Bake Shop,DOLLED UP DESSERTS GLUTEN FREE AND VEGAN BAKING INC.,142 JAMES ST N  HAMILTON ON,2022/06/17 00:00:00+00
282,16 123638 06 1K,Food Shop,Butcher,DUARTE SUPERMARKET,417 BARTON ST E  HAMILTON ON L8L 2Y4,2022/02/07 00:00:00+00
283,15 290451 06 1K,Food Shop,Basic,DUNDAS VALLEY MEDICAL PHARMACY INC.,105 KING ST W  DUNDAS ON,2023/01/11 00:00:00+00
284,15 287515 06 1K,Food Shop,Basic,DUNDURN VARIETY,268 DUNDURN ST S  HAMILTON ON L8P 4K9,2022/05/13 00:00:00+00
285,15 279866 06 1K,Food Shop,Basic,DURRANI PHARMACIES O/A SHOPPERS DRUG MART( #1041),753 MAIN ST E  HAMILTON ON,2022/04/30 00:00:00+00
286,14 286302 07 1K,Food Shop,Basic,DUTCH TOKO LIMITED O/A DUTCH TOKO,752 UPPER JAMES ST  HAMILTON ON,2022/06/24 00:00:00+00
287,14 171506 07 1K,Food Shop,Basic,DYMENT'S PUMPKIN PATCH,416 FALLSVIEW RD E  FLAMBOROUGH ON,2022/08/23 00:00:00+00
288,17 293245 04 1K,Food Shop,Basic,EAST HAMILTON CHEESE COMPANY,187 OTTAWA ST N  HAMILTON ON,2022/12/05 00:00:00+00
289,16 123796 06 1K,Food Shop,Basic,EASTGATE TUCK SHOP,45 BARLAKE AVE  HAMILTON ON L8E 3R6,2022/03/20 00:00:00+00
290,14 222213 07 1K,Food Shop,Basic,EASTWOOD VARIETY,529 MARY ST  HAMILTON ON L8L 4X6,2022/05/15 00:00:00+00
291,16 290874 05 1K,Food Shop,Fish Monger,EASY SEAFOOD LTD,640 QUEENSTON RD  HAMILTON ON L8K 1K2,2022/04/14 00:00:00+00
292,19 295863 02 1K,Food Shop,Fish Monger,EASY SEAFOOD LTD.,675 RYMAL RD E  HAMILTON ON,2022/07/19 00:00:00+00
293,16 291792 05 1K,Food Shop,Basic,EDUARDO IMPORTING LTD,357 HWY 8  STONEY CREEK ON L8G 1E7,2022/12/20 00:00:00+00
294,15 197840 07 1K,Food Shop,Multiple Food Shop,ELM GROCERY & DELI,44 KING ST E  STONEY CREEK ON L8G 1K1,2022/08/23 00:00:00+00
295,21 299931 00 1K,Food Shop,Caterer,ENTICING ICINGS,352 MILLEN RD  STONEY CREEK ON,2022/12/17 00:00:00+00
296,20 297657 01 1K,Food Shop,Caterer,ESCARPMENT KOMBUCHA COMPANY,811 KING ST E  HAMILTON ON L8M 1B1,2022/03/16 00:00:00+00
297,18 294650 02 1K,Food Shop,Basic,EWYN STUDIOS OF HAMILTON INC.,1070 STONE CHURCH RD E  HAMILTON ON L8W 3K8,2022/09/16 00:00:00+00
298,15 123775 07 1K,Food Shop,Basic,EXTRA VARIETY,1110 CANNON ST E  HAMILTON ON L8L 2H5,2022/09/06 00:00:00+00
299,15 281202 06 1K,Food Shop,Basic,EZ MART,195 PARKDALE AVE N  HAMILTON ON,2022/04/14 00:00:00+00
300,14 151154 07 1K,Food Shop,Basic,F & C FOOD IMPORTING INC,345 GRAYS RD  HAMILTON ON,2022/12/13 00:00:00+00
301,19 296218 02 1K,Food Shop,Caterer,FAIRLY FROSTED INC.,811 KING ST E  HAMILTON ON L8M 1B1,2022/06/11 00:00:00+00
302,21 299935 00 1K,Food Shop,Caterer,FALAFELA INC.,811 KING ST E  HAMILTON ON L8M 1B1,2022/12/24 00:00:00+00
303,14 181316 07 1K,Food Shop,Basic,FARM FRESH COUNTRY MARKET,386 BARTON ST  STONEY CREEK ON L8E 2K9,2022/05/22 00:00:00+00
304,17 292126 04 1K,Food Shop,Basic,FGL SPORTS LTD FGL SPORTING GOODS O/A PRO HOCKEY LIFE,1779 STONE CHURCH RD E 2 STONEY CREEK ON,2022/05/04 00:00:00+00
305,17 292124 04 1K,Food Shop,Basic,FGL SPORTS LTD FGL SPORTS LTEE O/A NATIONAL SPORTS,970 UPPER WENTWORTH ST  HAMILTON ON,2022/03/23 00:00:00+00
306,17 292125 04 1K,Food Shop,Basic,FGL SPORTS LTD FGL SPORTS LTEE O/A SPORT CHEK,14 MARTINDALE CRES  ANCASTER ON,2022/03/30 00:00:00+00
307,17 292129 04 1K,Food Shop,Basic,FGL SPORTS LTD FGL SPORTS LTEE O/A SPORT CHEK,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,2022/03/27 00:00:00+00
308,17 292379 04 1K,Food Shop,Basic,FGL SPORTS LTD FGL SPORTS LTEE O/A SPORT CHEK,17 CLAPPISON AVE  FLAMBOROUGH ON,2022/05/15 00:00:00+00
309,18 292128 04 1K,Food Shop,Basic,FGL SPORTS LTD FGL SPORTS LTEE O/A SPORT CHEK,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/04/26 00:00:00+00
310,15 290385 06 1K,Food Shop,Basic,FIDDES WHOLESALE PRODUCE CO,60 EWEN RD  HAMILTON ON L8S 3C5,2022/11/27 00:00:00+00
311,21 299208 00 1K,Food Shop,Caterer,FIT ORGANIX INC O/A FIT ORGANIX,98 VINE ST  HAMILTON ON,2022/09/04 00:00:00+00
312,17 293219 04 1K,Food Shop,Basic,FLAMBORO VALLEY CAMPING RESORT LTD 1430216 ONT LTD,1158 REGIONAL RD 97  FLAMBOROUGH ON,2022/09/04 00:00:00+00
313,14 171549 07 1K,Food Shop,Bake Shop,FLEETWOOD ACRES HOMESTYLE BAKERY LTD,1847 CENTRE RD  FLAMBOROUGH ON,2022/10/04 00:00:00+00
314,15 287693 06 1K,Food Shop,Caterer,FOUNDRY ICE CREAM INC,9 NAPIER ST N  DUNDAS ON,2022/07/16 00:00:00+00
315,21 299177 00 1K,Food Shop,Basic,FRESHCO,700 QUEENSTON RD  HAMILTON ON L8G 1A3,2022/06/21 00:00:00+00
316,21 299173 00 1K,Food Shop,Caterer,FURY HOT SAUCE INC.,811 KING ST E  HAMILTON ON L8M 1B1,2022/09/28 00:00:00+00
317,17 292415 04 1K,Food Shop,Basic,GATEWAY NEWSTANDS #631,2 KING ST W  HAMILTON ON,2022/08/10 00:00:00+00
318,15 123518 06 1K,Food Shop,Bake Shop,GENUINE BAKERY LTD,1002 BARTON ST E  HAMILTON ON,2022/04/24 00:00:00+00
319,18 294906 02 1K,Food Shop,Basic,GIANT TIGER STORES LIMITED O/A GIANT TIGER,1211 BARTON ST E  HAMILTON ON L8H 2V4,2022/02/08 00:00:00+00
320,17 291999 04 1K,Food Shop,Caterer,GIMMIE SOME SUGAR,12 MCDONALD CRT  FLAMBOROUGH ON,2022/04/25 00:00:00+00
321,21 298690 01 1K,Food Shop,Bake Shop,GLENDALE BAKERY LIMITED,205 QUIGLEY RD  HAMILTON ON L8K 5M8,2023/02/12 00:00:00+00
322,14 252234 07 1K,Food Shop,Basic,GOODNESS ME! NATURAL FOOD MARKET,176 LOCKE ST S  HAMILTON ON L8R 4A9,2022/05/03 00:00:00+00
323,15 284058 06 1K,Food Shop,Basic,GORJAN RISKOVSKI PHARMACY INC O/A SHOPPERS DRUG MART,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,2022/04/09 00:00:00+00
324,15 285765 06 1K,Food Shop,Butcher,GOURMET MEATS LIMITED,4262 HWY 6  GLANBROOK ON,2022/02/06 00:00:00+00
325,19 296146 02 1K,Food Shop,Basic,GP TROTT PHARMACY LTD. O/A SHOPPERS DRUG MART #1299,1411 UPPER SHERMAN AVE  HAMILTON ON,2022/06/21 00:00:00+00
326,16 123964 06 1K,Food Shop,Basic,GRAY'S CONVENIENCE,309 GRAYS RD  HAMILTON ON L8E 1V6,2022/03/05 00:00:00+00
327,18 293811 03 1K,Food Shop,Multiple Food Shop,GREAT CANIDIAN DOLLAR STORE,255 DUNDAS ST E  FLAMBOROUGH ON L0R 2H1,2022/04/06 00:00:00+00
328,14 228477 07 1K,Food Shop,Basic,GREEN'S VARIETY,274 BARTON ST  STONEY CREEK ON L8E 2K5,2022/06/03 00:00:00+00
329,18 294804 03 1K,Food Shop,Basic,GROCERYZONE INC.,55 PARKDALE AVE N  HAMILTON ON L8H 5W7,2022/09/17 00:00:00+00
330,18 294431 03 1K,Food Shop,Basic,H. HEJAZI PHARMACY LTD O/A SHOPPERS DRUG MART,1183 BARTON ST E  HAMILTON ON L8H 2V4,2022/07/11 00:00:00+00
331,20 297892 01 1K,Food Shop,Basic,H. HEJAZI PHARMACY LTD. O/A SHOPPERS DRUG MART,140 HWY 8  STONEY CREEK ON L8G 1C2,2022/07/28 00:00:00+00
332,14 275923 07 1K,Food Shop,Basic,HAGGLER'S MARKET PLACE,1565 BARTON ST E  HAMILTON ON L8H 2X7,2022/07/27 00:00:00+00
333,16 123741 06 1K,Food Shop,Basic,HAM & DIST ASSOC FOR COMM LIVING,191 YORK BLVD  HAMILTON ON,2022/03/15 00:00:00+00
334,15 123636 07 1K,Food Shop,Butcher,HAMILTON KOSHER,889 KING ST W  HAMILTON ON L8S 1K5,2022/08/27 00:00:00+00
335,21 299415 00 1K,Food Shop,Fish Monger,HAMMERHEAD'S FRESH ON LOCKE!,140 LOCKE ST S  HAMILTON ON L8P 4A9,2022/09/03 00:00:00+00
336,15 124047 07 1K,Food Shop,Basic,HAMMOCKS MONIMBO,163 JAMES ST N  HAMILTON ON,2022/08/06 00:00:00+00
337,14 207113 07 1K,Food Shop,Basic,HANAN INC. O/A PETRO CANADA,1366 MAIN ST E  HAMILTON ON L8K 1B7,2022/06/27 00:00:00+00
338,16 290651 05 1K,Food Shop,Basic,HARRINGTON LANE FARMS LTD.,9 MAIN ST S  FLAMBOROUGH ON,2022/02/17 00:00:00+00
339,18 295459 02 1K,Food Shop,Basic,HART STORES INC O/A HART STORES 99,77 JAMES ST N  HAMILTON ON L8R 2K3,2022/02/04 00:00:00+00
340,19 296236 02 1K,Food Shop,Basic,HEAL LIFESTYLE INC. O/A HEAL WELLNESS,584 CONCESSION ST  HAMILTON ON,2022/07/04 00:00:00+00
341,15 279364 07 1K,Food Shop,Basic,HIENG FAMILY,35 YORK BLVD  HAMILTON ON,2023/01/26 00:00:00+00
342,15 290412 06 1K,Food Shop,Basic,HIGHLAND POULTRY FINE FOODS LTD,225 NEBO RD 1 HAMILTON ON,2022/12/08 00:00:00+00
343,18 295132 03 1K,Food Shop,Basic,HOME DEPOT OF CANADA,350 CENTENNIAL PKWY N  HAMILTON ON,2022/11/08 00:00:00+00
344,18 295133 03 1K,Food Shop,Basic,HOME DEPOT OF CANADA,122 MARTINDALE CRES  ANCASTER ON,2022/10/23 00:00:00+00
345,18 295136 03 1K,Food Shop,Basic,HOME DEPOT OF CANADA,1775 STONE CHURCH RD E  HAMILTON ON,2022/10/24 00:00:00+00
346,21 299460 00 1K,Food Shop,Basic,HOOKAH CAFE,2070 RYMAL RD E  HANNON ON L0R 1P0,2022/09/07 00:00:00+00
347,20 298183 01 1K,Food Shop,Bake Shop,HOTTI BISCOTTI,35 YORK BLVD  HAMILTON ON,2022/10/01 00:00:00+00
348,18 295219 03 1K,Food Shop,Basic,HUDSON'S BAY,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/11/15 00:00:00+00
349,17 291868 04 1K,Food Shop,Basic,HUONG TRANG FISH MARKET,35 YORK BLVD  HAMILTON ON,2022/02/10 00:00:00+00
350,18 294809 02 1K,Food Shop,Caterer,ICING ON TOP,270 MCNEILLY RD  STONEY CREEK ON,2022/08/16 00:00:00+00
351,15 124006 07 1K,Food Shop,Basic,IMPERIAL VARIETY,220 WELLINGTON ST N  HAMILTON ON L8L 5A8,2022/10/30 00:00:00+00
352,21 299153 00 1K,Food Shop,Caterer,INDONESIAN'S FLAVOUR,811 KING ST E  HAMILTON ON L8M 1B1,2022/06/18 00:00:00+00
353,14 140344 06 1K,Food Shop,Fish Monger,INTERNATIONAL FISH MARKET LTD.,205 JAMES ST N  HAMILTON ON,2022/02/16 00:00:00+00
354,17 292096 04 1K,Food Shop,Basic,INTERNATIONAL NEWS,135 FENNELL AVE W  HAMILTON ON L9C 1E9,2022/03/30 00:00:00+00
355,15 290403 06 1K,Food Shop,Basic,ISHFAQ MEDICARE INC O/A SHOPPERS DRUG MART #1044,35 WILSON ST W  ANCASTER ON L9G 1N1,2022/12/08 00:00:00+00
356,19 296898 02 1K,Food Shop,Basic,ISHFAQ MEDICARE INC.,663 UPPER JAMES ST  HAMILTON ON,2022/10/15 00:00:00+00
357,19 296896 02 1K,Food Shop,Basic,J AHMAD DRUGS LTD O/A SHOPPERS DRUG MART,101 OSLER DR  DUNDAS ON,2022/10/23 00:00:00+00
358,15 278104 06 1K,Food Shop,Basic,J AHMAD DRUGS LTD O/A SHOPPERS DRUG MART #1458,620 KING ST W  HAMILTON ON L8S 1C2,2022/03/23 00:00:00+00
359,18 294395 02 1K,Food Shop,Basic,J. THOMSON PHARMACY LIMITED O/A SHOPPERS DRUG MART,181 MAIN ST W  HAMILTON ON L8P 4S1,2022/02/12 00:00:00+00
360,21 299242 00 1K,Food Shop,Basic,J. THOMSON PHARMACY LIMITED O/A SHOPPERS DRUG MART,969 FENNELL AVE E  HAMILTON ON L8T 1R1,2022/07/14 00:00:00+00
361,14 285372 07 1K,Food Shop,Basic,J. THOMSON PHARMACY LIMITED O/A SHOPPERS DRUG MART #1319,510 CONCESSION ST  HAMILTON ON,2022/11/15 00:00:00+00
362,21 299255 00 1K,Food Shop,Butcher,J. WALDRON BUTCHERS,353 BARTON ST E  HAMILTON ON,2022/08/06 00:00:00+00
363,14 280818 07 1K,Food Shop,Basic,J.R. GIUDICE PHARMACY INC. O/A SHOPPER'S DRUG MART #692,399 GREENHILL AVE  HAMILTON ON L8K 5E5,2023/01/04 00:00:00+00
364,14 280687 07 1K,Food Shop,Basic,JAANU INC/ SUNRISE MARKET,217 CANNON ST E  HAMILTON ON L8L 2A9,2022/11/16 00:00:00+00
365,21 299593 00 1K,Food Shop,Basic,JAMS STORE INC O/A NEW YORK NEWS,927 KING ST E  HAMILTON ON,2022/10/12 00:00:00+00
366,15 279448 07 1K,Food Shop,Basic,JANTZI CHEESE,35 YORK BLVD  HAMILTON ON,2023/01/25 00:00:00+00
367,14 286018 07 1K,Food Shop,Basic,JAS SODHI PHARMACY INC O/A SHOPPERS DRUG MART #1460,1341 MAIN ST W  HAMILTON ON L8S 1C6,2022/04/03 00:00:00+00
368,18 294711 03 1K,Food Shop,Basic,JAS SODHI PHARMACY INC O/A SHOPPPERS DRUG MART,981 KING ST W  HAMILTON ON L8S 1K9,2022/09/13 00:00:00+00
369,14 282592 07 1K,Food Shop,Basic,JAYVARDHAN CORPORATION O/A BIG BEE CONVENIENCE,910 QUEENSTON RD  STONEY CREEK ON L8G 1B5,2022/11/07 00:00:00+00
370,14 275792 06 1K,Food Shop,Basic,JEFF HANBALI DRUGS LTD.  O/A SHOPPERS DRUG MART,113 HERKIMER ST  HAMILTON ON,2022/04/23 00:00:00+00
371,15 279409 07 1K,Food Shop,Butcher,JEPSON'S FRESH MEATS,35 YORK BLVD  HAMILTON ON,2023/01/25 00:00:00+00
372,14 281764 06 1K,Food Shop,Basic,JEROME BROS POTATOES LTD,44 GARNER RD E  ANCASTER ON,2022/02/08 00:00:00+00
373,14 276043 07 1K,Food Shop,Basic,JESTAR CONVENIENCE STORE,12 ROBINSON ST  HAMILTON ON L8P 1Y5,2022/08/16 00:00:00+00
374,20 298281 01 1K,Food Shop,Basic,JJZ PHARMACY SERVICES INC. O/A SHOPPERS DRUG MART,801 MOHAWK RD W  HAMILTON ON L9C 1X7,2022/11/26 00:00:00+00
375,17 292871 04 1K,Food Shop,Basic,JOHN NARDINI DRUGS LIMITED O/A SHOPPERS DRUG MART #1180,369 HWY 8  STONEY CREEK ON,2022/08/22 00:00:00+00
376,21 299151 00 1K,Food Shop,Basic,JOSHY'S GOOD EATS,35 YORK BLVD  HAMILTON ON,2022/07/05 00:00:00+00
377,18 294246 03 1K,Food Shop,Basic,JOWAHAR PRODUCTIONS INC O/A SRH HEALTH FOODS,1230 BARTON ST E  HAMILTON ON,2022/07/23 00:00:00+00
378,15 279356 07 1K,Food Shop,Basic,JULIA'S FRESH POULTRY & EGGS,35 YORK BLVD  HAMILTON ON,2023/01/25 00:00:00+00
379,14 279895 07 1K,Food Shop,Basic,KC CONVENIENCE,128 PARKDALE AVE N  HAMILTON ON L8H 5X2,2022/06/15 00:00:00+00
380,19 295613 02 1K,Food Shop,Basic,KDC VENTURES INC O/A KING'S CROSS YOUR BRITISH STORE,50 KING ST E  DUNDAS ON,2022/03/25 00:00:00+00
381,21 299730 00 1K,Food Shop,Basic,KETO KRAVINGS,350 OTTAWA ST N  HAMILTON ON,2022/12/14 00:00:00+00
382,17 283477 07 1K,Food Shop,Basic,KING & JAMES CONVENIENCE,1 KING ST E  HAMILTON ON L8N 1A1,2022/11/13 00:00:00+00
383,14 216254 07 1K,Food Shop,Basic,KINN INVESTMENT LIMITED O/A GENERAL STORE,1407 BROCK RD  FLAMBOROUGH ON L9H 5E4,2022/10/24 00:00:00+00
384,14 206743 07 1K,Food Shop,Basic,KITCHEN FOOD FAIR #102,115 HAMILTON ST N  FLAMBOROUGH ON L8B 1A8,2022/09/09 00:00:00+00
385,19 296909 02 1K,Food Shop,Caterer,KITCHEN ISLAND,811 KING ST E  HAMILTON ON L8M 1B1,2022/10/18 00:00:00+00
386,15 123708 07 1K,Food Shop,Basic,KITMAN'S VARIETY,499 DUNSMURE RD  HAMILTON ON L8H 1G8,2022/07/25 00:00:00+00
387,19 296238 02 1K,Food Shop,Basic,KITTY'S ICE CREAM GARAGE,810 OLD HWY 8  FLAMBOROUGH ON,2022/07/15 00:00:00+00
388,14 172572 07 1K,Food Shop,Basic,KOLMIX FOODS INC,168 BARTON ST  STONEY CREEK ON,2022/11/28 00:00:00+00
389,14 286735 07 1K,Food Shop,Basic,LANDMARK 6 JACKSON SQUARE,2 KING ST W  HAMILTON ON,2022/09/18 00:00:00+00
390,14 279285 07 1K,Food Shop,Basic,LATIN FOOD AND PRODUCTS,55 YORK BLVD  HAMILTON ON,2023/01/21 00:00:00+00
391,21 298565 00 1K,Food Shop,Basic,LESLIE'S EUROPEAN DELI,55 YORK BLVD  HAMILTON ON,2022/02/12 00:00:00+00
392,14 279139 07 1K,Food Shop,Basic,LEYLANDS,316 DUNDAS ST E  FLAMBOROUGH ON,2023/01/08 00:00:00+00
393,19 295593 02 1K,Food Shop,Basic,LIBOR CORE LTD O/A DOLLAR STAR,2537 REGIONAL ROAD 56  GLANBROOK ON,2022/02/08 00:00:00+00
394,19 296305 02 1K,Food Shop,Caterer,L'IL DUTCH OVEN BAKERY,811 KING ST E  HAMILTON ON L8M 1B1,2022/07/10 00:00:00+00
395,15 279486 06 1K,Food Shop,Basic,LINA'S PASTRIES AND COFFEE,35 YORK BLVD  HAMILTON ON,2022/02/04 00:00:00+00
396,14 177878 07 1K,Food Shop,Bake Shop,LINDLEY FARM AND MARKET,900 FIDDLERS GREEN RD  ANCASTER ON,2022/04/25 00:00:00+00
397,18 294934 02 1K,Food Shop,Basic,LINDT& SPRUNGLI (CANADA) INC,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/05/16 00:00:00+00
398,14 287037 07 1K,Food Shop,Basic,LOBLAWS INC O/A REAL CANADIAN WHOLESALE CLUB,2255 BARTON ST E  HAMILTON ON L8H 7T4,2022/12/19 00:00:00+00
399,21 299650 00 1K,Food Shop,Basic,LOLA LATIN GROCERY,245 JAMES ST N  HAMILTON ON,2022/11/25 00:00:00+00
400,18 295155 03 1K,Food Shop,Basic,LOWE'S COMPANIES CANCDA.  ULC,100 PORTIA DR  ANCASTER ON,2022/10/25 00:00:00+00
401,18 294335 03 1K,Food Shop,Basic,LUMINATI ENTERPRISES INC. O/A NEW YORK NEWS,1782 STONE CHURCH RD E  STONEY CREEK ON,2022/07/18 00:00:00+00
402,14 282216 06 1K,Food Shop,Bake Shop,LUSCIOUS D'S,23 GAGE AVE S  HAMILTON ON,2022/04/10 00:00:00+00
403,21 299791 00 1K,Food Shop,Bake Shop,LUSCIOUS D'S,35 YORK BLVD  HAMILTON ON,2022/11/10 00:00:00+00
404,17 292158 04 1K,Food Shop,Basic,M & M  FOOD MARKET  O/A M & M MEAT SHOPS LTD,101 OSLER DR  DUNDAS ON,2022/04/27 00:00:00+00
405,18 295299 03 1K,Food Shop,Basic,M & V INTENT INC O/A GOOD HEALTG MART,640 MOHAWK RD W  HAMILTON ON L9C 1X6,2022/12/05 00:00:00+00
406,17 292168 04 1K,Food Shop,Basic,M&M FOOD MARKET,998 UPPER WENTWORTH ST  HAMILTON ON,2022/04/21 00:00:00+00
407,17 293406 03 1K,Food Shop,Basic,M&M MEAT SHOPS LTD. ,1090 WILSON ST W  ANCASTER ON,2022/04/13 00:00:00+00
408,17 292313 04 1K,Food Shop,Basic,M&M MEAT SHOPS LTD. O/A M&M FOOD MARKET,64 HAMILTON ST N  FLAMBOROUGH ON L0R 2H6,2022/05/12 00:00:00+00
409,19 296614 02 1K,Food Shop,Basic,M. MOSLIM PHARMACY LTD O/A PHARMASAVE,640 QUEENSTON RD  HAMILTON ON L8K 1K2,2022/08/15 00:00:00+00
410,21 299091 00 1K,Food Shop,Caterer,MADAM BONBON,1375 KING ST E  HAMILTON ON,2022/05/20 00:00:00+00
411,14 278852 07 1K,Food Shop,Basic,MAGGMORG INC O/A MARBLE SLAB CREAMERY,1550 UPPER JAMES ST  HAMILTON ON L9B 1K3,2022/12/22 00:00:00+00
412,16 124081 06 1K,Food Shop,Basic,MAIN CONVENIENCE,353 MAIN ST W  HAMILTON ON L8P 1K3,2022/03/06 00:00:00+00
413,20 297794 01 1K,Food Shop,Caterer,MAISY'S PEARL ,123 JAMES ST N  HAMILTON ON,2022/06/29 00:00:00+00
414,19 296880 01 1K,Food Shop,Bake Shop,MAKA CORP O/A COBS BREAD BAKERY,1187 WILSON ST W UNIT 3 ANCASTER ON,2022/01/30 00:00:00+00
415,14 229419 07 1K,Food Shop,Basic,MAMA AFRICA TROPICAL FOOD,424 CANNON ST E  HAMILTON ON,2022/08/05 00:00:00+00
416,20 298003 01 1K,Food Shop,Caterer,MAMEY,811 KING ST E  HAMILTON ON L8M 1B1,2022/08/27 00:00:00+00
417,20 298215 01 1K,Food Shop,Caterer,MARCI'S BAKERY,221 BARTON ST  STONEY CREEK ON,2022/11/18 00:00:00+00
418,15 287350 06 1K,Food Shop,Basic,MASTERMIND GP INC O/A MASTERMIND TOYS,803 GOLF LINKS RD  ANCASTER ON,2022/04/15 00:00:00+00
419,18 293996 03 1K,Food Shop,Basic,MASTERMIND GP INC O/A MASTERMIND TOYS,2180 RYMAL RD E  GLANBROOK ON,2022/04/06 00:00:00+00
420,16 123694 06 1K,Food Shop,Basic,MATIAS SUPER MARKET,450 WELLINGTON ST N  HAMILTON ON L8L 5B3,2022/02/19 00:00:00+00
421,21 298725 00 1K,Food Shop,Caterer,MAY'S THAI KITCHEN,48 ALGONQUIN CRT  HAMILTON ON,2022/02/23 00:00:00+00
422,18 293938 03 1K,Food Shop,Basic,MBA DRUGS INC.  O/A SHOPPERS DRUG MART,2110 RYMAL RD E  GLANBROOK ON,2022/03/29 00:00:00+00
423,14 277089 07 1K,Food Shop,Basic,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/07/09 00:00:00+00
424,14 277096 07 1K,Food Shop,Basic,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/07/09 00:00:00+00
425,14 277098 07 1K,Food Shop,Bake Shop,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/09/27 00:00:00+00
426,14 278812 07 1K,Food Shop,Basic,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/12/03 00:00:00+00
427,14 278813 07 1K,Food Shop,Basic,MCMASTER UNIVERSITY HOSPITALITY SERVICES,1280 MAIN ST W  HAMILTON ON L8S 4K1,2022/12/03 00:00:00+00
428,13 147242 07 1K,Food Shop,Basic,METRO ONTARIO INC O/A FOOD BASICS,505 RYMAL RD E   B HAMILTON ON L9B 1B7,2022/11/28 00:00:00+00
429,14 261465 07 1K,Food Shop,Basic,METRO ONTARIO INC O/A FOOD BASICS,640 MOHAWK RD W  HAMILTON ON L9C 1X6,2022/11/30 00:00:00+00
430,14 277783 07 1K,Food Shop,Basic,METRO ONTARIO INC O/A FOOD BASICS,35 WILSON ST W  ANCASTER ON L9G 1N1,2022/11/27 00:00:00+00
431,15 250645 06 1K,Food Shop,Basic,METRO ONTARIO INC. O/A FOOD BASICS,724 MOHAWK RD E  HAMILTON ON L8T 2P8,2022/03/27 00:00:00+00
432,21 298697 00 1K,Food Shop,Bake Shop,MIKEYS CREAM PIES,775 BARTON ST E  HAMILTON ON L8L 3A9,2022/04/20 00:00:00+00
433,15 270366 06 1K,Food Shop,Basic,MIKHIAL (BLUE LINE VARIETY),160 JOHN ST S  HAMILTON ON L8N 2C4,2022/03/07 00:00:00+00
434,14 171727 07 1K,Food Shop,Multiple Food Shop,MILLGROVE PACKERS LIMITED,549 5TH CON RD W  FLAMBOROUGH,2022/11/29 00:00:00+00
435,20 297968 01 1K,Food Shop,Basic,MINISO LIFESTYLE CANADA,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/09/01 00:00:00+00
436,21 299044 00 1K,Food Shop,Basic,MIX + FOOD MART,1256 KING ST E  HAMILTON ON L8M 1G8,2022/05/28 00:00:00+00
437,16 291760 05 1K,Food Shop,Basic,MORELLI AND ASSOCIATES DRUGS LTD,350 KING ST E  HAMILTON ON L8N 1C2,2022/12/06 00:00:00+00
438,19 296500 02 1K,Food Shop,Basic,NGUYEN HONG VARIETY ,64 CANNON ST W  HAMILTON ON L8R 2B5,2022/08/08 00:00:00+00
439,14 281294 07 1K,Food Shop,Caterer,NICOLA'S SPECIALTY FOODS CORPORATION,1576 STONE CHURCH RD E 10 HAMILTON ON,2022/07/13 00:00:00+00
440,21 298916 00 1K,Food Shop,Caterer,NIOLABAKES,4 TALENCE DR  STONEY CREEK ON,2022/05/07 00:00:00+00
441,14 185863 07 1K,Food Shop,Bake Shop,OAKRUN FARM BAKERY LTD,58 CARLUKE RD W  ANCASTER ON,2022/07/13 00:00:00+00
442,14 282315 07 1K,Food Shop,Basic,OLD NAVY (CANADA) INC.,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/12/14 00:00:00+00
443,14 283025 07 1K,Food Shop,Multiple Food Shop,OPIES MEATS,612 CONCESSION ST  HAMILTON ON,2022/07/30 00:00:00+00
444,16 290661 05 1K,Food Shop,Basic,PARAMOUNT PHARMACY (2000) INC O/A PHARMASAVE,1795 STONE CHURCH RD E 5 STONEY CREEK ON,2022/02/17 00:00:00+00
445,14 285154 07 1K,Food Shop,Basic,PARKSIDE CONVENIENCE,285 PARKSIDE DR  FLAMBOROUGH ON L9H 2S7,2022/09/20 00:00:00+00
446,16 291262 05 1K,Food Shop,Basic,PARON CHEESE CO LTD,410 REGIONAL ROAD 20  GLANBROOK ON,2022/07/14 00:00:00+00
