OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
40,15 288137 06 1K,Food Shop,Basic,180 JAMES STREET SOUTH LIMITED O/A BIG BEE FOODMART,180 JAMES ST S  HAMILTON ON L8P 4V1,2022/10/06 00:00:00+00
41,17 292950 04 1K,Food Shop,Basic,1804347 ONTARIO INC O/A POWER DEALS,116 KING ST W  HAMILTON ON L8P 4V3,2022/09/13 00:00:00+00
42,18 294118 03 1K,Food Shop,Basic,1814152 ONTARIO INC. O/A FRESHCO,601 UPPER GAGE AVE  HAMILTON ON L8V 4J7,2022/04/24 00:00:00+00
43,14 280557 07 1K,Food Shop,Basic,1824280 ONTARIO INC O/A BIG BONUS CONVENIENT STORE,172 HWY 8  STONEY CREEK ON L8G 3V2,2022/11/16 00:00:00+00
44,18 294606 03 1K,Food Shop,Basic,1837726 ONTARIO LTD. O/A FRESHCO,2525 REGIONAL ROAD 56  GLANBROOK ON,2022/09/12 00:00:00+00
45,16 291722 05 1K,Food Shop,Basic,1867155 ONTARIO LIMITED O/A NO FRILLS,36 CLAPPISON AVE E FLAMBOROUGH ON,2022/12/06 00:00:00+00
46,15 287421 06 1K,Food Shop,Basic,1869468 ONTARIO INC. O/A HAMILTON BEACH CONVENIENCE & FOOD MART,536 BEACH BLVD  HAMILTON ON,2022/04/21 00:00:00+00
47,21 299036 00 1K,Food Shop,Basic,1876587 ONTARIO INC. O/A FRESHCO,1565 BARTON ST E  HAMILTON ON L8H 2X7,2022/07/22 00:00:00+00
48,14 283601 07 1K,Food Shop,Basic,1877858 ONTARIO INC. O/A BIG BEE FOOD MART,478 KING ST E  HAMILTON ON L8N 1C8,2023/02/06 00:00:00+00
49,15 287888 06 1K,Food Shop,Basic,1884297 ONTARIO INC O/A HESS VARIETY,25 HESS ST N  HAMILTON ON L8R 2S5,2022/08/10 00:00:00+00
50,18 294091 04 1K,Food Shop,Basic,1884339 ONTARIO INC. O/A DANNY'S VARIETY / LAUNDROMAT,1000 UPPER GAGE AVE  HAMILTON ON L8V 4K9,2022/04/20 00:00:00+00
51,14 284566 07 1K,Food Shop,Basic,1892548 ONTARIO LTD O/A UPPER WENTWORTH CONVENIENCE,1216 UPPER WENTWORTH ST  HAMILTON ON L9A 4W2,2022/06/13 00:00:00+00
52,14 285870 07 1K,Food Shop,Basic,1906245 ONTARIO INC O/A MIX+ FOODMART,997 CANNON ST E  HAMILTON ON L8L 2H4,2022/04/24 00:00:00+00
53,21 298886 01 1K,Food Shop,Basic,1906272 ONTARIO INC O/A SAMIR HALAL FOODS,750 UPPER JAMES ST  HAMILTON ON L9C 3A2,2022/12/11 00:00:00+00
54,15 287539 06 1K,Food Shop,Basic,1906395 ONTARIO LIMITED O/A WM DISCOUNT & LIQUIDATION,1565 BARTON ST E  HAMILTON ON L8H 2X7,2022/07/23 00:00:00+00
55,21 298736 00 1K,Food Shop,Caterer,1914611 ONTARIO INC O/A THE DESSERT ROOM,1509 WILSON ST W  ANCASTER ON,2022/04/20 00:00:00+00
56,14 287047 07 1K,Food Shop,Basic,1919670 ONTARIO INC. O/A BIG BEAR FOOD MART,878 KING ST W  HAMILTON ON L8S 1K3,2022/12/23 00:00:00+00
57,15 287725 06 1K,Food Shop,Basic,1936253 ONTARIO INC. O/A ANYTIME CONVENIENCE,649 UPPER JAMES ST  HAMILTON ON L9C 2Y9,2022/10/19 00:00:00+00
58,16 290745 05 1K,Food Shop,Basic,1944917 ONTARIO INC. O/A GOLDIES VARIETY,679 MOHAWK RD E  HAMILTON ON L8V 2K6,2022/04/26 00:00:00+00
59,17 293487 03 1K,Food Shop,Basic,1950573 ONTARIO INC O/A RICK'S CONVENIENCE,625 GREENHILL AVE  HAMILTON ON L8K 5W9,2022/02/23 00:00:00+00
60,18 293522 03 1K,Food Shop,Basic,1967209 ONTARIO INC O/A IFRUIT MARKET,1808 RYMAL RD E  GLANBROOK ON,2022/04/03 00:00:00+00
61,17 292057 04 1K,Food Shop,Basic,1967284 ONTARIO INC O/A BECKER'S CONVENIENCE STORE,119 HERKIMER ST  HAMILTON ON L8P 2G8,2022/04/06 00:00:00+00
62,19 296892 02 1K,Food Shop,Basic,1992796 ONT LTD O/A BIG BEE FOODMART,305 MELVIN AVE  HAMILTON ON L8H 2K6,2022/12/10 00:00:00+00
63,18 294674 03 1K,Food Shop,Basic,1998047 ONTARIO INC. O/A HASTY MARKET,135 UPPER CENTENNIAL PKWY  STONEY CREEK ON,2022/10/05 00:00:00+00
64,20 298335 01 1K,Food Shop,Basic,1998405 ONT. INC. O/A SWADESH SUPERMARKET,1439 UPPER OTTAWA ST  HAMILTON ON,2022/11/18 00:00:00+00
65,18 295223 03 1K,Food Shop,Basic,1998405 ONTARIO INC. O/A SWADESH SUPERMARKET,178 BARTON ST  STONEY CREEK ON L8E RW2,2022/11/16 00:00:00+00
66,14 274674 07 1K,Food Shop,Basic,2088479 ONTARIO LTD O/A LOCOCO'S FRUITS & VEGGIES,2371 BARTON ST E  HAMILTON ON,2022/10/20 00:00:00+00
67,14 275097 07 1K,Food Shop,Basic,2104003 ONTARIO INC. O/A BIG BEE CONVENIENCE,856 LAWRENCE RD  HAMILTON ON L8K 2A2,2022/11/17 00:00:00+00
68,18 295229 02 1K,Food Shop,Basic,2111541 ONTARIO LTD O/A POPEYE'S SUPPLEMENTS,247 CENTENNIAL PKWY N  HAMILTON ON,2022/03/06 00:00:00+00
69,18 295230 03 1K,Food Shop,Basic,2111541 ONTARIO LTD O/A POPEYE'S SUPPLEMENTS,1024 UPPER WENTWORTH ST  HAMILTON ON,2023/01/23 00:00:00+00
70,20 297259 01 1K,Food Shop,Basic,2135536 ONTARIO INC O/A CHOCOLATE SENSATIONS,240 WILSON ST E  ANCASTER ON,2022/06/06 00:00:00+00
71,14 276535 07 1K,Food Shop,Basic,2155648 ONTARIO INC O/A BIG BONUS CONVENIENCE & FOOD MART,601 UPPER JAMES ST  HAMILTON ON,2022/12/14 00:00:00+00
72,19 297145 02 1K,Food Shop,Basic,2163335 ONTARIO INC. O/A THE VITAMIN STORE,86 MAIN ST  DUNDAS ON L9H 2R1,2022/12/19 00:00:00+00
73,14 277534 07 1K,Food Shop,Basic,2183882 ONTARIO INC O/A K C DISCOUNT,1252 HIGHWAY NO. 8  STONEY CREEK ON L8E 5K3,2022/11/12 00:00:00+00
74,14 279063 07 1K,Food Shop,Multiple Food Shop,2203547 ONTARIO LTD O/A B&T FOOD,103 QUEEN ST N  HAMILTON ON L8R 2V5,2022/12/04 00:00:00+00
75,14 279961 07 1K,Food Shop,Basic,2218155 ONTARIO INC O/A ROOKIE VARIETY,1247 HWY 8  STONEY CREEK ON L8E 5G8,2022/06/15 00:00:00+00
76,17 292758 04 1K,Food Shop,Basic,2266820 ONTARIO INC O/A BUSY BEE FOOD MART,1146 BARTON ST E  HAMILTON ON,2022/08/18 00:00:00+00
77,14 281080 07 1K,Food Shop,Basic,2267366 ONTARIO LIMITED O/A SHOPPERS DRUG MART,133 KING ST W  DUNDAS ON,2023/02/08 00:00:00+00
