OBJECTID,Fax_Number,City,Province,Geo_X,Geo_Y,Business_Id,Business_Name,Site_Postal_Code,Created_Date,Updated_Date,NAICSCode,NAICSCode_Desc,Telephone_Number,Web_Address,Mailing_Address1,Mailing_Address2,Mailing_City,Mailing_Province,Mailing_Country,Mailing_Postal_Code,Unit_Number,Business_Description,Street_Number,Street_Name,Street_Type,Street_Direction,Municipality,geometry,lon,lat
36618,9056664783,Whitby,Ontario,668397.49,4858327.82,11630,Ball Packaging Canada Corp.,L1N7C1,2019-05-10,2019-08-22,322219.0,Other paperboard container manufacturing,9056663600,ball.com,,,,,,L1N7C1,,Manufactures containers for the beer and beverage industry.,1506,Wentworth,Street,,Whitby,POINT (-78.90458406365842 43.85882995130469),-78.90458406365842,43.85882995130469
36619,9056653742,Whitby,Ontario,668303.06,4858097.74,11107,Gerdau Long Steel North America,L1N5T1,2019-05-10,,331110.0,Iron and steel mills and ferro-alloy manufacturing,9056688811,www.gerdau.com/longsteel,,,,,,L1N5T1,,Steel manufacturer.,1801,Hopkins,Street,,Whitby,POINT (-78.90583079496754 43.856781291667524),-78.90583079496754,43.856781291667524
36620,9054307275,Whitby,Ontario,666691.58,4859886.45,10284,dormakaba Canada,L1N6A6,2019-05-10,2019-08-22,335990.0,All other electrical equipment and component manufacturing,9054307226,keyscan.ca,,,,,,L1N6A6,,"Product developer, manufacturer electronic security access control products.",901,Burns,Street,East,Whitby,POINT (-78.92531079590874 43.87324138351228),-78.92531079590874,43.87324138351228
36621,,Whitby,Ontario,666046.7,4859363.2,9933,Kids Safety Village Of Durham,L1N4A6,2019-05-10,2019-08-22,913130.0,Municipal police services,9056689893,,,,,,,L1N4A6,,Kids safety education centre.,1129,Athol,Street,,Whitby,POINT (-78.93349473886087 43.86867866397601),-78.93349473886087,43.86867866397601
36622,,Whitby,Ontario,665175.74,4858228.73,242179,Ontario Shores Centre For Mental Health - Durham Community Clinic,L1N0E4,2019-05-10,,621330.0,Offices of mental health practitioners (except physicians),9056682975,,,,,,,,116 B,Centre for mental health services,617,Victoria,Street,West,Whitby,POINT (-78.94467810463584 43.858666244552744),-78.94467810463584,43.858666244552744
36623,,Whitby,Ontario,665498.77,4857273.57,11052,Ontario Shores Centre For Mental Health,L1N5S9,2019-05-10,,622210.0,Psychiatric and substance abuse hospitals,9054304055,www.ontarioshores.ca,,,,,,L1N5S9,,Ontario Shores Centre for Mental Health Sciences is a public teaching hospital providing a range of specialized assessment and treatment services from you to seniors to those living with serious and complex mental illness.,700,Gordon,Street,,Whitby,POINT (-78.94095698852179 43.849999443924006),-78.94095698852179,43.849999443924006
36624,9056682134,Whitby,Ontario,665848.83,4858042.12,11623,Port Whitby Marina,L1N9G3,2019-05-10,,713930.0,Marinas,9056681900,whitby.ca,,,,,,L1N9G3,,"Full service marina, dockage, rentals, boat lifting etc.",301,Watson,Street,East,Whitby,POINT (-78.93636597024681 43.85683623999757),-78.93636597024681,43.85683623999757
36625,,Whitby,Ontario,666784.91,4859329.38,10414,McNarin Packaging,L1N1C4,2019-05-10,,561910.0,Packaging and labelling services,9056687533,https://www.mcnairnpackaging.com/,,,,,,,,Food packaging products manufacturer.,125,Consumers,Drive,,Whitby,POINT (-78.92432397965264 43.86820788884269),-78.92432397965264,43.86820788884269
36626,9056685477,Whitby,Ontario,666953.15,4860540.07,11108,North American Steel Equipment Company Ltd.,L1N2B9,2019-05-10,,331221.0,Cold-rolled steel shape manufacturing,9056683300,www.naseco.ca,,,,,,L1N2B9,,"Manufacturing, roll-forming steel products: shelving and pallet racking.",300,Hopkins,Street,,Whitby,POINT (-78.92185286694671 43.87906337256162),-78.92185286694671,43.87906337256162
36627,,Whitby,Ontario,668703.15,4858161.78,11632,Inteva,L1N7C1,2019-05-10,2019-08-22,415290.0,Other new motor vehicle parts and accessories merchant wholesalers,9056664600,www.intevaproducts.com,,,,,,L1N7C1,,Engineered automobile components and systems .,1555,Wentworth,Street,,Whitby,POINT (-78.90083560776843 43.857266188113115),-78.90083560776843,43.857266188113115
