licence number,establishment name,location address line 1,location address line 2,location address  city,location postal code,licence type,licence subtype,capacity
301061,Township 7 Vineyards & Winery,1450 McMillan Avenue,,PENTICTON,V2A8T3,Manufacturer,Winery,0
300182,Township 7 Vineyards & Winery,21152 16th Avenue,,LANGLEY,V2Z1K3,Manufacturer,Winery,0
304826,Townsite Brewing Inc,5824 Ash Avenue,,POWELL RIVER,V8A4R4,Manufacturer,Brewery,0
172674,Toyo Sushi ,3978A Hastings St,,BURNABY,V5C6C1,Food Primary,,35
027221,Trackers Cafeteria,Hastings Park Racecourse,Stable Area,VANCOUVER,V5K3N8,Food Primary,,110
302496,Trackside Cantina,3815 Railway Ave.,,SMITHERS,V0J2N0,Food Primary,,79
306982,Tractor Everyday Healthy Foods,1751 Quebec ST,,VANCOUVER,V5T1B4,Food Primary,,50
305440,Tractor Everyday Healthy Foods,1903 - 4th Avenue West,,VANCOUVER,V6J1M7,Food Primary,,50
307238,Tractor Everyday Healthy Foods,547 Robson St,,VANCOUVER,V6C3L2,Food Primary,,48
306351,Tractor Everyday Healthy Foods (Burrard St),335 Burrard St,,VANCOUVER,V6C2G8,Food Primary,,78
306292,Tractorgrease Cafe,48710 Chilliwack Lake Rd,,CHILLIWACK,V4Z1A6,Food Primary,,60
304948,Tracycakes Bakery Cafe,101-2636 Montrose Ave,,ABBOTSFORD,V2S3T6,Food Primary,,45
306210,Tracycakes Bakery Cafe,21594 48 Ave,,LANGLEY,V3A3M5,Food Primary,,12
306725,Trading Post Brewing Corporation,Unit 107 - 20120 64th Avenue,,LANGLEY,V2Y1M7,Manufacturer,Brewery,0
301431,Trading Post Taphouse and Eatery,9143 Glover Road,,LANGLEY,V1M2S5,Food Primary,,100
307143,Tradition Chinese Cuisine,573 Lawrence Ave.,,KELOWNA,V1Y6L8,Food Primary,,50
304467,Trafiq,4216 Main Street,,VANCOUVER,V5V3P9,Food Primary,,33
307312,Trail Beer Refinery ,1299 Bay Avenue,,TRAIL,V1R4A7,Manufacturer,Brewery,0
007651,Trail Hotel,531 SECOND ST,,TRAIL,V1R3S7,Liquor Primary,,145
192022,Tranquille Liquor Store,363 Tranquille Rd,,KAMLOOPS,V2B3G4,Licensee Retail Store,,
307209,Trans AM,1879 Powell St,,VANCOUVER,V5L1H8,Food Primary,,21
303029,Trattoria Italian Kitchen,1850 West 4th Avenue,,VANCOUVER,V6J1M3,Food Primary,,132
306331,Trattoria Italian Kitchen,4501 Kingsway,,BURNABY,V5H0E5,Food Primary,,313
305884,Trattoria Italian Kitchen (West Vancouver),757 Main St,,WEST VANCOUVER,V7T2Z3,Food Primary,,235
164527,Trattoria Pasta Shoppe,23A South 1st  Ave,,WILLIAMS LAKE,V2G1H4,Food Primary,,70
011138,Traveller's Inn City Center,1961 Douglas Street,,VICTORIA,V8T4K7,Liquor Primary,,71
